ds,yhat,yhat_lower,yhat_upper
2020-05-12,1622.30736434739,1249.232628038186,1997.5702557140232
2020-05-13,1591.1327816109176,1197.3806966762659,1961.5879069401092
2020-05-14,1516.738164251249,1150.8835009440047,1897.7807760354146
2020-05-15,1497.284107721076,1070.5811032004674,1898.3204512783038
2020-05-16,1437.5763015423743,1068.5801316497502,1813.5432360881243
2020-05-17,1408.75025304026,1007.7207632385501,1777.8128550924082
2020-05-18,1384.6042158896362,1004.9262631611201,1755.6850567767974
2020-05-19,1355.9982180041732,980.3000817826942,1726.2559728488911
2020-05-20,1324.8294460637005,928.5490284754252,1716.584543232622
2020-05-21,1250.4406395000774,863.2338883032455,1621.367909238779
2020-05-22,1230.9923937659755,866.1944715209266,1597.3234538358242
2020-05-23,1171.2903983832907,776.5348315644017,1547.2037030786435
2020-05-24,1142.470160677248,742.0067036526219,1533.6254170352188
2020-05-25,1118.3299343226743,732.1214787311164,1498.6607340679068
2020-05-26,1089.7239364372456,696.407919687947,1451.806767833781
2020-05-27,1058.5551644967807,672.576044952014,1447.6364465098418
2020-05-28,985.2237839226276,561.2618886698201,1370.2695703149116
2020-05-29,966.8329641779288,560.9991626198124,1352.1640386183894
2020-05-30,908.1883947846374,512.7300695762705,1281.2634476414066
2020-05-31,880.425583068069,502.8468192751795,1247.8676230993506
2020-06-01,857.3427827030614,469.02292395160487,1242.8394221746735
2020-06-02,829.7942108069424,469.13436543323115,1199.1471152046554
2020-06-03,799.6828648558808,414.28109223609806,1182.4677074296123
2020-06-04,726.3514842817652,377.8556429390744,1092.5911493018061
2020-06-05,707.9606645370965,303.70910612277896,1075.103508568635
2020-06-06,658.567024685668,251.3071441668124,1055.9698576311027
2020-06-07,640.0551425109525,274.5073186407551,1025.6393172538174
2020-06-08,626.2232716877877,243.2119496328155,1018.4825602056544
2020-06-09,607.925629333557,220.4294015528206,989.0894238008375
2020-06-10,587.065212924356,231.00505832301832,972.671470396974
2020-06-11,522.9847618921623,150.8410936642322,928.7517036479035
2020-06-12,513.8448716893345,118.92520454872582,892.5986596437687
2020-06-13,464.4512318379482,90.9058452722923,875.1000590871935
2020-06-14,445.9393496631868,42.30913760545256,815.0511773699137
2020-06-15,432.1074788400949,37.63236656856574,807.8231800226065
2020-06-16,424.80588009807275,39.568134725886914,821.8329981567329
2020-06-17,414.94150730099966,47.72208889006192,808.3816919392656
2020-06-18,361.85709988098756,-2.1825591403057927,720.6857677148843
2020-06-19,363.7132532903772,-27.768057925629495,757.550032541775
2020-06-20,325.3156570511911,-77.12443761548985,712.4480917754466
2020-06-21,317.79981848857045,-60.65005210325689,652.7801574423983
2020-06-22,314.96399127763345,-80.28410748666045,683.4141299313605
2020-06-23,307.66239253557666,-69.04095727416907,682.0195027095549
2020-06-24,297.7980197385805,-102.38362109651455,637.9008835804008
2020-06-25,251.97471719860062,-114.36862868131804,627.0833985054156
2020-06-26,261.09197548795487,-108.47109189288766,649.0515227688968
2020-06-27,229.95548412872628,-156.06693680784787,609.7022760233176
2020-06-28,229.7007504462185,-183.02651585766918,624.9695242233344
2020-06-29,234.12602811525267,-141.71811970250607,607.0337161097275
2020-06-30,234.08553425321733,-140.65599474673613,612.1312714620701
2020-07-01,231.48226633627698,-161.05134278074115,633.8413617435539
2020-07-02,185.65896379617595,-185.3690041982389,568.9731876745655
